sample	start	end	rate	r2	p	year
1	Ives	20	25	10.6	0.98	<0.001	2011
2	Howe	20	25	7.25	0.961	<0.001	2011
3	Rush	20	25	10.4	0.953	<0.001	2011
5	Pony	20	25	9.81	0.935	<0.001	2011
11	UpperPine	20	25	6.22	0.963	<0.001	2011
12	SecondPine	20	25	6.27	0.967	<0.001	2011
13	Mountain	20	25	8.31	0.985	<0.001	2011
14	Lily	20	25	7.1	0.977	<0.001	2011
19	Ann	43	53	1.96	0.854	<0.001	2011
20	Canyon	43	53	1.78	0.831	<0.001	2011
23	Canyon	10	60	0.508	0.424	<0.001	2012
24	Canyon	10	60	0.484	0.412	<0.001	2012
25	Canyon	10	60	0.775	0.649	<0.001	2012
26	SecondPine	50	110	1.01	0.849	<0.001	2012
27	SecondPine	50	110	0.983	0.838	<0.001	2012
28	SecondPine	50	110	0.96	0.822	<0.001	2012
29	UpperPine	50	110	1.06	0.825	<0.001	2012
30	UpperPine	50	110	1.06	0.878	<0.001	2012
31	UpperPine	50	110	1.15	0.819	<0.001	2012
32	Ann	50	110	0.841	0.782	<0.001	2012
33	Ann	50	110	1.19	0.881	<0.001	2012
34	Ann	50	110	0.957	0.767	<0.001	2012
35	Mountain	50	110	0.858	0.74	<0.001	2012
36	Mountain	50	110	1.22	0.795	<0.001	2012
37	Mountain	50	110	0.903	0.865	<0.001	2012
38	Howe	60	120	0.732	0.764	<0.001	2012
39	Howe	60	120	0.855	0.807	<0.001	2012
40	Howe	60	120	0.737	0.747	<0.001	2012
41	Rush	60	120	0.843	0.791	<0.001	2012
42	Rush	60	120	0.593	0.723	<0.001	2012
43	Rush	60	120	0.838	0.767	<0.001	2012
44	Pony	60	120	1.27	0.834	<0.001	2012
45	Pony	60	120	1.44	0.876	<0.001	2012
46	Pony	60	120	1.66	0.925	<0.001	2012
47	Ives	80	140	0.201	0.259	<0.001	2012
48	Ives	80	140	0.447	0.602	<0.001	2012
49	Ives	80	140	0.299	0.428	<0.001	2012
50	Lily	80	140	0.352	0.416	<0.001	2012
51	Lily	80	140	0.335	0.456	<0.001	2012
52	Lily	80	140	0.314	0.44	<0.001	2012
