"cmpd","rt","annotation","ann.confidence","median.signal","inferred.M","inferred.formula","inchikey","inchi","pubchem.url","synonyms","inchikey.1","kingdom","superclass","class","subclass","parent","description"
"C1",19.1328292682927,"C7H4O9S3","3",4169.54291102888,327.9018,"C7H4O9S3",NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA
"C2",19.3118333333333,"C4H2OS2_1","3",51919.877550658,129.9573,"C4H2OS2",NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA
"C3",223.072533333333,"N-(4-acetamidophenyl)-2-[[1-(4-ethylphenyl)-5-tetrazolyl]thio]acetamide_1","2",4848.74564540495,396.1408,"C19H20N6O2S","UFQMMFCIGWSKDO-UHFFFAOYSA-N","InChI=1S/C19H20N6O2S/c1-3-14-4-10-17(11-5-14)25-19(22-23-24-25)28-12-18(27)21-16-8-6-15(7-9-16)20-13(2)26/h4-11H,3,12H2,1-2H3,(H,20,26)(H,21,27)","https://pubchem.ncbi.nlm.nih.gov/compound/1078044","NA","UFQMMFCIGWSKDO-UHFFFAOYSA-N","Organic compounds","Organoheterocyclic compounds","Azoles","Tetrazoles","Phenyltetrazoles and derivatives","This compound belongs to the class of organic compounds known as phenyltetrazoles and derivatives. These are compounds containing a phenyltetrazole skeleton, which consists of a tetrazole bound to a phenyl group."
"C4",18.4047142857143,"C9H9N8O22PS5","3",2031.72466527894,771.8175,"C9H9N8O22PS5",NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA
"C5",1010.93538461538,"C4H2O5P2","3",12717.2846631474,191.9351,"C4H2O5P2",NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA
"C6",559.961538461538,"5-(dodecylthio)-1H-1,2,3-triazole-4-carboxylic acid","2",13744.3777783941,313.1786,"C15H27N3O2S","IEZPFPQAXAREGM-UHFFFAOYSA-N","InChI=1S/C15H27N3O2S/c1-2-3-4-5-6-7-8-9-10-11-12-21-14-13(15(19)20)16-18-17-14/h2-12H2,1H3,(H,19,20)(H,16,17,18)","https://pubchem.ncbi.nlm.nih.gov/compound/24180714","NA","IEZPFPQAXAREGM-UHFFFAOYSA-N","Organic compounds","Organosulfur compounds","Thioethers","Aryl thioethers","Aryl thioethers","This compound belongs to the class of organic compounds known as aryl thioethers. These are organosulfur compounds containing a thioether group that is substituted by an aryl group."
"C7",291.816416666667,"9-(methylsulfinyl)nonanoic acid_1","2",224.831538575935,220.1092,"C10H20O3S","XZYIQKMSOAQJCG-UHFFFAOYNA-N",NA,NA,"NA","XZYIQKMSOAQJCG-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C8",18.6912727272727,"C10H7N18O20P3S8","3",1285.1210199215,1047.7055,"C10H7N18O20P3S8",NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA
"C9",18.1569090909091,"C9H18O3S6","3",2246.00041469537,365.9665,"C9H18O3S6",NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA
"C10",200.864272727273,"cyclohexanecarboxylic acid [1-(2-thiazolyl)ethylideneamino] ester","2",3537.70415730178,252.0994,"C12H16N2O2S","RRXZTDHBRAEGPA-UHFFFAOYSA-N","InChI=1S/C12H16N2O2S/c1-9(11-13-7-8-17-11)14-16-12(15)10-5-3-2-4-6-10/h7-8,10H,2-6H2,1H3","https://pubchem.ncbi.nlm.nih.gov/compound/3830711","NA","RRXZTDHBRAEGPA-UHFFFAOYSA-N","Organic compounds","Organoheterocyclic compounds","Azoles","Thiazoles","Thiazoles","This compound belongs to the class of organic compounds known as thiazoles. These are heterocyclic compounds containing a five-member aromatic ring made up of one sulfur atom, one nitrogen, and three carbon atoms."
"C11",277.614363636364,"2,4-diacetamido-2,4,6-trideoxy-beta-L-altrose","2",713.36340373924,246.1247,"C10H18N2O5","NRXWTRNYICXMBF-SGZWNVLDSA-N","InChI=1S/C10H18N2O5/c1-4-7(11-5(2)13)9(15)8(10(16)17-4)12-6(3)14/h4,7-10,15-16H,1-3H3,(H,11,13)(H,12,14)/t4-,7-,8+,9-,10-/m0/s1","https://pubchem.ncbi.nlm.nih.gov/compound/56927717","NA","NRXWTRNYICXMBF-SGZWNVLDSA-N","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Hexoses","This compound belongs to the class of organic compounds known as hexoses. These are monosaccharides in which the sugar unit is a is a six-carbon containing moeity."
"C12",314.277181818182,"C5H4O4P2","3",1271.09539595461,189.9582,"C5H4O4P2",NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA
"C13",295.410727272727,"Valyl-Valine","2",486.95375802173,216.1505,"C10H20N2O3","KRNYOVHEKOBTEF-UHFFFAOYNA-N",NA,NA,"NA","KRNYOVHEKOBTEF-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C14",46.3099,"M = 161.8488","",2631.62440245748,161.8488,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA
"C15",213.8118,"2-Methylaminoadenosine_1","2",3124.14711527706,296.1251,"C11H16N6O4","UZWXAPMSNDKDNK-KQYNXXCUSA-N","InChI=1S/C11H16N6O4/c1-13-11-15-8(12)5-9(16-11)17(3-14-5)10-7(20)6(19)4(2-18)21-10/h3-4,6-7,10,18-20H,2H2,1H3,(H3,12,13,15,16)/t4-,6-,7-,10-/m1/s1","https://pubchem.ncbi.nlm.nih.gov/compound/439946","NA","UZWXAPMSNDKDNK-KQYNXXCUSA-N","Organic compounds","Nucleosides, nucleotides, and analogues","Purine nucleosides",NA,"Purine nucleosides","This compound belongs to the class of organic compounds known as purine nucleosides. These are compounds comprising a purine base attached to a ribosyl or deoxyribosyl moiety."
"C16",220.5074,"Farnesyl pyrophosphate_1","2",4557.96336987066,382.1266,"C15H28O7P2","VWFJDQUYCIWHTN-YFVJMOTDSA-N","InChI=1S/C15H28O7P2/c1-13(2)7-5-8-14(3)9-6-10-15(4)11-12-21-24(19,20)22-23(16,17)18/h7,9,11H,5-6,8,10,12H2,1-4H3,(H,19,20)(H2,16,17,18)/b14-9+,15-11+","https://pubchem.ncbi.nlm.nih.gov/compound/445713","NA","VWFJDQUYCIWHTN-YFVJMOTDSA-N","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Sesquiterpenoids","Sesquiterpenoids","This compound belongs to the class of organic compounds known as sesquiterpenoids. These are terpenes with three consecutive isoprene units."
