Cmpd	rt	inferred.mass	inferred.formula	C	H	N	O	P	S	C.N.P	H.C	O.C	N.C	CHO_index	NOSC	DBE	DBE.O	Annotation	Kingdon	Superclass	class	subclass	parent	pubchem.url	DIM1	DIM2
C1	19.1328292682927	327.9018	C7H4O9S3	7	4	0	9	0	3	7:0:0	0.571428571428571	1.28571428571429	0	2	2.85714285714286	6	-3	C7H4O9S3	NA	NA	NA	NA	NA	NA	0.781818181818182	-0.115151515151515
C3	223.072533333333	396.1408	C19H20N6O2S	19	20	6	2	0	1	19:6:0	1.05263157894737	0.105263157894737	0.315789473684211	-0.842105263157895	0.210526315789474	13	11	N-(4-acetamidophenyl)-2-[[1-(4-ethylphenyl)-5-tetrazolyl]thio]acetamide_1	Organic compounds	Organoheterocyclic compounds	Azoles	Tetrazoles	Phenyltetrazoles and derivatives	https://pubchem.ncbi.nlm.nih.gov/compound/1078044	0.648484848484848	0.175757575757576
C8	18.6912727272727	1047.7055	C10H7N18O20P3S8	10	7	18	20	3	8	10:18:3	0.7	2	1.8	3.3	8.8	16.5	-3.5	C10H7N18O20P3S8	NA	NA	NA	NA	NA	NA	0.612121212121212	-0.490909090909091
C10	200.864272727273	252.0994	C12H16N2O2S	12	16	2	2	0	1	12:2:0	1.33333333333333	0.166666666666667	0.166666666666667	-1	-0.333333333333333	6	4	cyclohexanecarboxylic acid [1-(2-thiazolyl)ethylideneamino] ester	Organic compounds	Organoheterocyclic compounds	Azoles	Thiazoles	Thiazoles	https://pubchem.ncbi.nlm.nih.gov/compound/3830711	0.272727272727273	0.575757575757576
C15	213.8118	296.1251	C11H16N6O4	11	16	6	4	0	0	11:6:0	1.45454545454545	0.363636363636364	0.545454545454545	-0.727272727272727	0.909090909090909	7	3	2-Methylaminoadenosine_1	Organic compounds	Nucleosides, nucleotides, and analogues	Purine nucleosides	NA	Purine nucleosides	https://pubchem.ncbi.nlm.nih.gov/compound/439946	0.442424242424242	0.418181818181818
C17	218.4198	324.1202	C12H16N6O5	12	16	6	5	0	0	12:6:0	1.33333333333333	0.416666666666667	0.5	-0.5	1	8	3	archaeosine_1	Organic compounds	Nucleosides, nucleotides, and analogues	Pyrrolopyrimidine nucleosides and nucleotides	NA	Pyrrolopyrimidine nucleosides and nucleotides	https://pubchem.ncbi.nlm.nih.gov/compound/132841	0.624242424242424	0.0181818181818182
C18	192.521	356.1099	C16H16N6O2S	16	16	6	2	0	1	16:6:0	1	0.125	0.375	-0.75	0.5	12	10	1-(4-morpholinyl)-2-[[3-(3-pyridinyl)-[1,2,4]triazolo[4,3-b]pyridazin-6-yl]thio]ethanone_1	Organic compounds	Organoheterocyclic compounds	Pyridines and derivatives	Pyridyltriazoles	Pyridyl-1,2,4-triazoles	https://pubchem.ncbi.nlm.nih.gov/compound/5310565	0.406060606060606	0.527272727272727
C22	57.5258888888889	210.8311	0	0	0	0	0	0	0	0:0:0	NA	NA	NA	NA	NA	1	1	M = 210.8311	NA	NA	NA	NA	NA	NA	-0.672727272727273	0.357575757575757
C23	244.286	270.1092	C12H18N2O3S	12	18	2	3	0	1	12:2:0	1.5	0.25	0.166666666666667	-1	-0.333333333333333	5	2	Tolbutamide_1	Organic compounds	Benzenoids	Benzene and substituted derivatives	Benzenesulfonamides	Benzenesulfonamides	https://pubchem.ncbi.nlm.nih.gov/compound/5505	-0.236363636363636	0.733333333333333
C24	200.440444444444	370.1235	C17H18N6O2S	17	18	6	2	0	1	17:6:0	1.05882352941176	0.117647058823529	0.352941176470588	-0.823529411764706	0.352941176470588	12	10	N-(2-oxolanylmethyl)-2-[[3-(3-pyridinyl)-[1,2,4]triazolo[4,3-b]pyridazin-6-yl]thio]acetamide_1	NA	NA	NA	NA	NA	NA	0.575757575757576	0.36969696969697
C26	202.825666666667	336.1428	C15H20N4O5	15	20	4	5	0	0	15:4:0	1.33333333333333	0.333333333333333	0.266666666666667	-0.666666666666667	0.133333333333333	8	3	LSM-36722	Organic compounds	Benzenoids	Benzene and substituted derivatives	Nitrobenzenes	Nitrobenzenes	NA	0.333333333333333	0.660606060606061
C27	273.520444444444	426.1517	C15H26N2O12	15	26	2	12	0	0	15:2:0	1.73333333333333	0.8	0.133333333333333	-0.133333333333333	0.266666666666667	4	-8	Chitobiose_1	NA	NA	NA	NA	NA	NA	-0.236363636363636	0.43030303030303
C36	224.85875	282.1095	C10H14N6O4	10	14	6	4	0	0	10:6:0	1.4	0.4	0.6	-0.6	1.2	7	3	2-Aminoadenosine_1	Organic compounds	Nucleosides, nucleotides, and analogues	Purine nucleosides	NA	Purine nucleosides	https://pubchem.ncbi.nlm.nih.gov/compound/72200	0.175757575757576	0.76969696969697
C37	237.554875	310.1413	C11H22N2O8	11	22	2	8	0	0	11:2:0	2	0.727272727272727	0.181818181818182	-0.545454545454545	0	2	-6	mannopine_1	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	L-alpha-amino acids	https://pubchem.ncbi.nlm.nih.gov/compound/121864	0.248484848484848	0.903030303030303
C39	201.836	386.1205	C14H26O10S	14	26	0	10	0	1	14:0:0	1.85714285714286	0.714285714285714	0	-0.428571428571429	-0.285714285714286	2	-8	alpha-L-Rhap-(1->3)-beta-D-Glcp-O[CH2]2SH_1	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	O-glycosyl compounds	https://pubchem.ncbi.nlm.nih.gov/compound/121232677	0.236363636363636	0.672727272727273
C40	198.28375	272.0889	C10H16N4O3S	10	16	4	3	0	1	10:4:0	1.6	0.3	0.4	-1	0.4	5	2	2-[(5-oxo-3-sulfanylidene-2H-1,2,4-triazin-6-yl)amino]propanoic acid butyl ester_1	NA	NA	NA	NA	NA	NA	0.284848484848485	0.660606060606061
C41	190.831375	258.0737	C10H14N2O4S	10	14	2	4	0	1	10:2:0	1.4	0.4	0.2	-0.6	0.2	5	1	Northienamycin;(5R-cis)-3-[(2-Aminoethyl)thio]-6-(hydroxymethyl)-7-oxo-1-Azabicyclo[3.2.0]hept-2-ene-2-carboxylic acid	NA	NA	NA	NA	NA	NA	0.515151515151515	0.515151515151515
C43	270.04175	356.1462	C16H24N2O5S	16	24	2	5	0	1	16:2:0	1.5	0.3125	0.125	-0.875	-0.375	6	1	2-[(2S,5S,6S)-5-(benzenesulfonamido)-6-(hydroxymethyl)-2-oxanyl]-N,N-dimethylacetamide_1	NA	NA	NA	NA	NA	NA	-0.6	0.527272727272727
C51	53.4044285714286	198.8147	0	0	0	0	0	0	0	0:0:0	NA	NA	NA	NA	NA	1	1	M = 198.8147	NA	NA	NA	NA	NA	NA	-0.660606060606061	0.103030303030303
C52	213.319714285714	252.1354	C10H16N6O2	10	16	6	2	0	0	10:6:0	1.6	0.2	0.6	-1.2	0.6	6	4	[4-methoxy-6-(1-piperidinyl)-1H-1,3,5-triazin-2-ylidene]-nitrosomethanamine_1	Organic compounds	Organoheterocyclic compounds	Triazines	Aminotriazines	Aminotriazines	https://pubchem.ncbi.nlm.nih.gov/compound/6740108	0.333333333333333	0.503030303030303
C54	215.866714285714	258.1096	C11H18N2O3S	11	18	2	3	0	1	11:2:0	1.63636363636364	0.272727272727273	0.181818181818182	-1.09090909090909	-0.363636363636363	4	1	6-(2-Oxo-Hexahydro-Thieno[3,4-D]Imidazol-4-Yl)-Hexanoic Acid	NA	NA	NA	NA	NA	NA	0.551515151515151	0.0787878787878788
C57	230.067714285714	302.1382	C14H22O7	14	22	0	7	0	0	14:0:0	1.57142857142857	0.5	0	-0.571428571428571	-0.571428571428571	4	-3	Garcinia lactone dibutyl ester_1	NA	NA	NA	NA	NA	NA	0.806060606060606	-0.212121212121212
C64	204.211428571429	310.1043	C12H22O7S	12	22	0	7	0	1	12:0:0	1.83333333333333	0.583333333333333	0	-0.666666666666667	-0.5	2	-5	1,2-diisobutoxycarbonylethanesulfonic acid_1	NA	NA	NA	NA	NA	NA	0.709090909090909	0.115151515151515
C66	196.618428571429	300.1198	C12H20N4O3S	12	20	4	3	0	1	12:4:0	1.66666666666667	0.25	0.333333333333333	-1.16666666666667	0	5	2	desmethylranitidine_1	Organic compounds	Organic nitrogen compounds	Organonitrogen compounds	Amines	Aralkylamines	https://pubchem.ncbi.nlm.nih.gov/compound/163116	0.587878787878788	0.357575757575757
