cmpd,rt,annotation,ann.confidence,median.signal,inferred.M,inferred.formula,inchikey,inchi,hmdb.url,lm.url,pubchem.url,chebi.url,synonyms,inchikey.1,kingdom,superclass,class,subclass,parent,description
C1,23.27222581,UNPD217014,2,653.0126079,778.2569,C39H42N2O15,NRVZSPZDTGDADG-RKFXEXHDSA-N,NA,NA,NA,NA,NA,UNPD=UNPD217014,NRVZSPZDTGDADG-UHFFFAOYSA-N,NA,NA,NA,NA,NA,NA
C2,23.25562963,C30H45N6O17P,3,564.2839181,792.2588,C30H45N6O17P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C3,18.09388679,methylene bis(thiocyanate)__1,2,27314.83723,129.9577,C3H2N2S2,JWZXKXIUSSIAMR-UHFFFAOYSA-N,InChI=1S/C3H2N2S2/c4-1-6-3-7-2-5/h3H2,NA,NA,NA,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:134614,methylene bis(thiocyanate)__1 __ thiocyanatomethyl thiocyanate __ thiocyanic acid thiocyanatomethyl ester,JWZXKXIUSSIAMR-UHFFFAOYSA-N,Organic compounds,Organosulfur compounds,Thioacetals,Dithioacetals,Dithioacetals,This compound belongs to the class of organic compounds known as dithioacetals. These are compounds containing a dithioacetal functional group with the general structure R2C(SR')2.
C4,22.94910417,C22H68N4O13P4S5,3,469.7299596,880.2318,C22H68N4O13P4S5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C5,291.9805957,C24H33N6O12PS,3,1948.079587,660.1596,C24H33N6O12PS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C6,23.46891304,2-O-p-Coumaroyltartronic acid,2,1330.461947,266.0391,C12H10O7,RWROLZXFRYSDLG-ZZXKWVIFSA-N,"InChI=1S/C12H10O7/c13-8-4-1-7(2-5-8)3-6-9(14)19-10(11(15)16)12(17)18/h1-6,10,13H,(H,15,16)(H,17,18)/b6-3+",http://www.hmdb.ca/metabolites/HMDB0032956,NA,NA,NA,95519-23-6 __ J3.506.849J __ 2-O-p-Coumaroyltartronic acid __ trans-Coumaroyltartronic acid __ 2-O-p-Coumaroyltartronic acid__1 __ 2-[(E)-3-(4-hydroxyphenyl)prop-2-enoyl]oxypropanedioic acid __ 2-{[(2E)-3-(4-HYDROXYPHENYL)PROP-2-ENOYL]OXY}PROPANEDIOIC ACID,RWROLZXFRYSDLG-ZZXKWVIFSA-N,Organic compounds,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Hydroxycinnamic acids and derivatives,Coumaric acid esters,This compound belongs to the class of organic compounds known as coumaric acid esters. These are aromatic compounds containing an ester derivative of coumaric acid.
C7,23.27304762,Citicoline,2,826.1581184,488.1111,C14H26N4O11P2,RZZPDXZPRHQOCG-OJAKKHQRSA-N,"InChI=1S/C14H26N4O11P2/c1-18(2,3)6-7-26-30(22,23)29-31(24,25)27-8-9-11(19)12(20)13(28-9)17-5-4-10(15)16-14(17)21/h4-5,9,11-13,19-20H,6-8H2,1-3H3,(H3-,15,16,21,22,23,24,25)/t9-,11-,12-,13-/m1/s1",http://www.hmdb.ca/metabolites/HMDB0001413,NA,https://pubchem.ncbi.nlm.nih.gov/compound/25202509#section=Top,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16436,"Cereb __ Audes __ Ensign __ Rexort __ Reagin __ Colite __ Citifar __ Nicolin __ Haocolin __ Somazina __ Somazine __ Nicholin __ Recognan __ Neucolis __ Hornbest __ Recofnan __ Suncholin __ Sintoclar __ Niticolin __ Corenalin __ Cyscholin __ Citicoline __ Cytidoline __ Difosfocin __ Citidoline __ Citicholine __ CDP-choline __ Emicholine F __ Nicholin (TN) __ Citicoline (JAN/INN) __ Cytidine diphosphocholine __ Choline cytidine diphosphate __ Cytidine choline diphosphate __ Cytidine-5'-Diphosphocholine __ Cytidine diphosphate choline __ cytidine-5' diphosphocholine __ Cytidine 5'-diphosphocholine __ Cytidine diphosphorylcholine __ Choline 5'-cytidine diphosphate __ Cytidine 5'-diphosphate choline __ Cytidine 5'-(choline diphosphate) __ Cytidine 5-diphosphate-trihydrogen __ Cytidine diphosphate choline ester __ Cytidine 5'-(cholinyl pyrophosphate) __ cytidine-5'-pyrophosphate-hydroxycholine __ P-hydroxide[2-(trimethylammonio)ethyl] ester __ [[(2R,3S,4R,5R)-5-(4-amino-2-oxo-1-pyrimidinyl)-3,4-dihydroxy-2-oxolanyl]methoxy-hydroxyphosphoryl] 2-(trimethylammonio)ethyl phosphate __ [[(2R,3S,4R,5R)-5-(4-amino-2-oxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] 2-(trimethylazaniumyl)ethyl phosphate __ [(2R,3S,4R,5R)-5-(4-amino-2-oxo-1-pyrimidinyl)-3,4-dihydroxy-2-oxolanyl]methyl [hydroxy-[2-(trimethylammonio)ethoxy]phosphoryl] phosphate __ [(2R,3S,4R,5R)-5-(4-amino-2-oxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methyl [hydroxy-[2-(trimethylazaniumyl)ethoxy]phosphoryl] phosphate __ [[(2R,3S,4R,5R)-5-(4-amino-2-oxo-1-pyrimidinyl)-3,4-dihydroxy-2-oxolanyl]methoxy-oxidophosphoryl] 2-(trimethylammonio)ethyl phosphate;hydron __ [[(2R,3S,4R,5R)-5-(4-amino-2-oxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-oxidophosphoryl] 2-(trimethylazaniumyl)ethyl phosphate;hydron __ [[(2R,3S,4R,5R)-5-(4-amino-2-oxo-pyrimidin-1-yl)-3,4-dihydroxy-tetrahydrofuran-2-yl]methoxy-hydroxy-phosphoryl] 2-(trimethylammonio)ethyl phosphate __ [(2R,3S,4R,5R)-5-(4-amino-2-oxo-pyrimidin-1-yl)-3,4-dihydroxy-tetrahydrofuran-2-yl]methyl [hydroxy-[2-(trimethylammonio)ethoxy]phosphoryl] phosphate __ [[(2R,3S,4R,5R)-5-(4-amino-2-keto-pyrimidin-1-yl)-3,4-dihydroxy-tetrahydrofuran-2-yl]methoxy-hydroxy-phosphoryl] 2-(trimethylammonio)ethyl phosphate __ [(2R,3S,4R,5R)-5-(4-amino-2-keto-pyrimidin-1-yl)-3,4-dihydroxy-tetrahydrofuran-2-yl]methyl [hydroxy-[2-(trimethylammonio)ethoxy]phosphoryl] phosphate __ [[(2R,3S,4R,5R)-5-(4-amino-2-oxo-pyrimidin-1-yl)-3,4-dihydroxy-tetrahydrofuran-2-yl]methoxy-oxido-phosphoryl] 2-(trimethylammonio)ethyl phosphate;hydron __ [[(2R,3S,4R,5R)-5-(4-amino-2-keto-pyrimidin-1-yl)-3,4-dihydroxy-tetrahydrofuran-2-yl]methoxy-oxido-phosphoryl] 2-(trimethylammonio)ethyl phosphate;hydron __ [[(2R,3S,4R,5R)-5-(4-azanyl-2-oxidanylidene-pyrimidin-1-yl)-3,4-bis(oxidanyl)oxolan-2-yl]methoxy-oxidanyl-phosphoryl] 2-(trimethylazaniumyl)ethyl phosphate __ [(2R,3S,4R,5R)-5-(4-azanyl-2-oxidanylidene-pyrimidin-1-yl)-3,4-bis(oxidanyl)oxolan-2-yl]methyl [oxidanyl-[2-(trimethylazaniumyl)ethoxy]phosphoryl] phosphate __ [[(2R,3S,4R,5R)-5-(4-azanyl-2-oxidanylidene-pyrimidin-1-yl)-3,4-bis(oxidanyl)oxolan-2-yl]methoxy-oxidanidyl-phosphoryl] 2-(trimethylazaniumyl)ethyl phosphate;hydron",RZZPDXZPRHQOCG-OJAKKHQRSA-N,Organic compounds,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine ribonucleotides,Pyrimidine ribonucleoside diphosphates,This compound belongs to the class of organic compounds known as pyrimidine ribonucleoside diphosphates. These are pyrimidine ribonucleotides with diphosphate group  linked to the ribose moiety.
C8,242.4970238,C13H41N11O15P2S3,3,1790.894112,749.1429,C13H41N11O15P2S3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C9,233.074,Tolbutamide,2,4595.826425,270.1113,C12H18N2O3S,JLRGJRBPOGGCBT-UHFFFAOYSA-N,"InChI=1S/C12H18N2O3S/c1-3-4-9-13-12(15)14-18(16,17)11-7-5-10(2)6-8-11/h5-8H,3-4,9H2,1-2H3,(H2,13,14,15)",http://www.hmdb.ca/metabolites/HMDB0015256,NA,https://pubchem.ncbi.nlm.nih.gov/compound/5505#section=Top,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:27999,Tolbutamide __ Orinase (TN) __ Tolbutamide__1 __ 1-butyl-3-tosyl-urea __ Tolbutamide (JP16/USP/INN) __ 1-butyl-3-(p-tolylsulfonyl)urea __ 1-butyl-3-(4-methylphenyl)sulfonylurea __ 1-butyl-3-(4-methylphenyl)sulfonyl-urea,JLRGJRBPOGGCBT-UHFFFAOYSA-N,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzenesulfonamides,Benzenesulfonamides,This compound belongs to the class of organic compounds known as benzenesulfonamides. These are organic compounds containing a sulfonamide group that is S-linked to a benzene ring.
C10,23.6897,Heliquinomycin;NSC 702208;Rubymycin,2,1025.326626,698.1425,C33H30O17,MLFZQFHGXSVTGX-KEOPEIOPNA-N,NA,NA,NA,NA,NA,KNApSAcK=C00016053 __ UNPD=UNPD62740,MLFZQFHGXSVTGX-UHFFFAOYSA-N,NA,NA,NA,NA,NA,NA
